"Root","根"
"Display Page Control","如果没有设置，默认为86400。为了实是更新，请清空HTML块缓存输出"
"Number of Products per Page","每页显示的产品数量"
"Number of Products to Display","显示产品的数量"
"Template","模板"
"New Products Grid Template","新产品网格模板"
"New Products List Template","新产品列表模板"
"New Products Images and Names Template","新产品图片和名称模板"
"New Products Names Only Template","新产品名称唯一模板"
"New Products Images Only Template","新产品图像只有模板"
"Cache Lifetime (Seconds)","缓存生存期 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","由 86400 默认情况下，如果不是设置。若要立即刷新，请清除块 HTML 输出缓存。"
"Catalog Product Link","目录产品链接"
"Link to a Specified Product","链接到指定的产品"
"Select Product...","选择产品..."
"Anchor Custom Text","自定义文本锚点"
"If empty, we'll use the product name here.","如果为空，我们将在这里使用的产品名称。"
"Anchor Custom Title","自定义标题锚点"
"Product Link Block Template","产品链接块模板"
"Product Link Inline Template","产品链接内联模板"
"Catalog Category Link","目录类别链接"
"Link to a Specified Category","链接到一个指定的类别"
"Select Category...","选择类别..."
"If empty, we'll use the category name here.","如果为空，我们将在这里使用的类别名称。"
"Category Link Block Template","分类链接块模板"
"Category Link Inline Template","类别链接内联模板"
"Set","设置名称"
"All Store Views","所有商店界面"
"Delete items","删除项目"
"Delete selected items?","删除所选的项目吗?"
"Change status","更改状态"
"Enable","启用"
"Disable","禁用"
"Update attributes","更新属性"
"none","没有"
"Overview","概述"
"Details","详情"
